city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Guangzhou,23.1300,113.2600,China,CN,Guangdong,admin,26940000,14498400
Shanghai,31.1667,121.4667,China,CN,Shanghai,admin,24073000,24870895
Beijing,39.9040,116.4075,China,CN,Beijing,primary,18522000,18522000
Shenzhen,22.5350,114.0540,China,CN,Guangdong,minor,17619000,12528300
Chengdu,30.6600,104.0633,China,CN,Sichuan,admin,14645000,16044700
Xi’an,34.2667,108.9000,China,CN,Shaanxi,admin,12328000,8989000
Chongqing,29.5500,106.5069,China,CN,Chongqing,admin,12135000,12135000
Baoding,38.8671,115.4845,China,CN,Hebei,,11860000,11544036
Linyi,35.1041,118.3502,China,CN,Shandong,,11018365,11018365
Dongguan,23.0475,113.7493,China,CN,Guangdong,minor,10646000,8342500
Tianjin,39.1467,117.2056,China,CN,Tianjin,admin,10368000,13866009
Wuhan,30.5872,114.2881,China,CN,Hubei,admin,10251000,10892900
Nanyang,32.9987,112.5292,China,CN,Henan,,10013600,9713112
Hangzhou,30.2500,120.1675,China,CN,Zhejiang,admin,9523000,9468000
Foshan,23.0292,113.1056,China,CN,Guangdong,minor,9498863,9498863
Tongshan,34.2610,117.1859,China,CN,Jiangsu,minor,9083790,9083790
Zhoukou,33.6250,114.6418,China,CN,Henan,minor,9026015,9026015
Ganzhou,25.8292,114.9336,China,CN,Jiangxi,minor,8970014,8970014
Heze,35.2333,115.4333,China,CN,Shandong,minor,8795939,8795939
Quanzhou,24.9139,118.5858,China,CN,Fujian,minor,8782285,8782285
Nanjing,32.0608,118.7789,China,CN,Jiangsu,admin,8422000,7260000
Jining,35.4000,116.5667,China,CN,Shandong,,8357897,8357897
Fuyang,32.8986,115.8045,China,CN,Anhui,,8200264,8200264
Shenyang,41.8025,123.4281,China,CN,Liaoning,admin,7964000,8294000
Shangqiu,34.4259,115.6467,China,CN,Henan,,7816831,7816831
Cangzhou,38.3037,116.8452,China,CN,Hebei,,7544300,7300783
Shaoyang,27.2418,111.4725,China,CN,Hunan,,7370500,6563520
Zhanjiang,21.1967,110.4031,China,CN,Guangdong,minor,7332000,6981236
Yancheng,33.3936,120.1339,China,CN,Jiangsu,minor,7260240,6709629
Hengyang,26.8968,112.5857,China,CN,Hunan,,7243400,6645243
Zhumadian,32.9773,114.0253,China,CN,Henan,,7231234,7008427
Xingtai,37.0659,114.4753,China,CN,Hebei,,7111106,7111106
Bijie,27.3019,105.2863,China,CN,Guizhou,,6899636,6899636
Shangrao,28.4419,117.9633,China,CN,Jiangxi,minor,6810700,6491088
Zunyi,27.7050,106.9336,China,CN,Guizhou,,6606675,6606675
Huanggang,30.4500,114.8750,China,CN,Hubei,minor,6333000,5882719
Maoming,21.6618,110.9178,China,CN,Guangdong,minor,6313200,6174050
Nanchong,30.7991,106.0784,China,CN,Sichuan,minor,6278614,5607565
Xinyang,32.1264,114.0672,China,CN,Henan,,6234401,6234401
Qujing,25.5102,103.8029,China,CN,Yunnan,,6155400,5766000
Jieyang,23.5533,116.3649,China,CN,Guangdong,minor,6089400,6089400
Liaocheng,36.4500,115.9833,China,CN,Shandong,minor,5952128,5952128
Dalian,38.9000,121.6000,China,CN,Liaoning,,5871474,5871475
Yulin,22.6293,110.1507,China,CN,Guangxi,minor,5849700,5796766
Changde,29.0397,111.6839,China,CN,Hunan,minor,5827200,5279102
Qingdao,36.1167,120.4000,China,CN,Shandong,minor,5818255,5818256
